,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,"Temperature, F","Wind Speed, mph"
0,maldonado,20,UY,1536087600,67,-34.91,-54.96,59.0,11.41
1,jamestown,0,AU,1536088762,52,-33.21,138.6,38.89,10.0
2,port elizabeth,20,US,1536087360,57,39.31,-74.98,92.61,4.07
3,arlit,36,NE,1536089196,31,18.74,7.39,91.18,3.51
4,ushuaia,75,AR,1536087600,84,-54.81,-68.31,33.96,26.4
6,sharjah,0,AE,1536087600,37,25.36,55.39,96.22,6.93
7,bethel,90,US,1536087180,83,60.79,-161.76,48.92,6.93
8,taltal,0,CL,1536089198,73,-25.41,-70.49,65.62,2.62
9,prince rupert,1,CA,1536084000,87,54.32,-130.32,57.2,2.24
10,saint george,0,GR,1536087000,60,39.45,22.34,73.4,2.24
11,zheleznodorozhnyy,0,RU,1536085800,72,55.75,38.0,63.5,8.95
13,zambezi,0,ZM,1536089199,30,-13.55,23.12,73.9,8.66
15,mataura,0,NZ,1536088789,77,-46.19,168.86,25.66,2.84
16,turukhansk,92,RU,1536089066,92,65.8,87.96,50.95,18.72
17,mount gambier,88,AU,1536088694,87,-37.83,140.78,48.88,6.98
18,funadhoo,12,MV,1536089200,98,6.15,73.27,84.43,7.09
19,bredasdorp,88,ZA,1536084000,55,-34.53,20.04,60.8,4.7
20,puerto ayora,75,EC,1536087600,57,-0.74,-90.35,80.6,17.22
21,mahebourg,40,MU,1536084000,78,-20.41,57.7,71.6,13.87
23,cape town,90,ZA,1536085800,87,-33.93,18.42,53.6,9.17
25,gresham,1,US,1536087180,50,45.51,-122.44,68.52,4.7
26,gamba,48,CN,1536089202,82,28.28,88.52,29.8,2.39
27,pineto,0,IT,1536087000,73,42.61,14.07,71.6,2.24
28,hasaki,75,JP,1536085800,74,35.73,140.83,82.4,14.99
29,batasan,90,PH,1536084660,94,14.89,120.71,76.37,2.24
30,norman wells,40,CA,1536087300,80,65.28,-126.83,39.2,16.11
32,barrow,0,AR,1536088621,35,-38.31,-60.23,73.18,18.39
33,magsaysay,90,PH,1536084000,94,6.76,125.15,75.2,3.36
34,arraial do cabo,75,BR,1536087600,68,-22.97,-42.02,71.6,16.11
35,broome,40,GB,1536087360,82,52.47,1.45,59.14,5.82
